#F1	F2	d
MZ22506124	MZ22502935	0.0767
MZ22528378	MZ22500047	-0.0123
MZ22520218	MZ22501769	0.9633
MZ22530036	MZ22503567	0.0000
MZ22530060	MZ22519951	0.5249
MZ22530469	MZ22514802	0.5021
MZ22528973	MZ22523515	-0.0000
MZ22528743	MZ22509609	-0.0031
MZ22523465	MZ22521375	-0.0123
MZ22518275	MZ22521994	0.3911
MZ22503562	MZ22502439	0.0408
MZ22529889	MZ22503048	0.2641
MZ22517038	MZ22509079	0.2985
MZ22523409	MZ22502636	0.0398
MZ22521610	MZ22508066	0.8917
MZ22526808	MZ22526813	0.8422
MZ22518275	MZ22524179	0.6500
MZ22500754	MZ22500106	0.0720
MZ22528012	MZ22510440	0.3091
MZ22526117	MZ22519193	0.1022
MZ22518487	MZ22509506	0.0506
MZ22517798	MZ22522989	0.3140
MZ22527985	MZ22504918	0.0091
MZ22528586	MZ22506269	0.0000
MZ22508040	MZ22507529	0.7132
MZ22528119	MZ22500047	0.2727
MZ22527779	MZ22526291	0.3443
MZ22530626	MZ22512571	-0.0045
MZ22530733	MZ22505306	-0.0130
MZ22530567	MZ22505306	-0.0130
MZ22501194	MZ22503731	0.2650
MZ22522073	MZ22515097	0.3182
MZ22528569	MZ22516011	0.0000
MZ22528979	MZ22514124	-0.0000
MZ22528769	MZ22508297	0.6329
MZ22514725	MZ22502949	0.5288
MZ22528949	MZ22524582	-0.0000
MZ22529513	MZ22519442	-0.0000
MZ22512069	MZ22507380	0.3349
MZ22530326	MZ22521243	-0.0108
MZ22528198	MZ22512960	0.0000
MZ22513245	MZ22516531	0.7245
MZ22525742	MZ22519193	0.3661
MZ22515311	MZ22506271	-0.0000
MZ22529810	MZ22514452	0.0000
MZ22531113	MZ22517197	-0.0132
MZ22528316	MZ22520576	-0.0203
MZ22530913	MZ22524141	-0.0054
MZ22529418	MZ22521351	0.0000
MZ22528606	MZ22524282	-0.0000
MZ22523747	MZ22513314	0.2468
MZ22511815	MZ22511180	0.3346
MZ22520185	MZ22521381	-0.0060
MZ22524065	MZ22525160	1.0243
MZ22528405	MZ22515097	0.0135
MZ22521951	MZ22520299	0.4401
MZ22527715	MZ22524202	0.1235
MZ22522919	MZ22506943	0.4814
MZ22528939	MZ22524733	0.0000
MZ22528880	MZ22502673	-0.0159
MZ22522161	MZ22502612	0.0000
MZ22521767	MZ22521498	0.5775
MZ22513427	MZ22511280	-0.0000
MZ22520278	MZ22523370	0.7771
MZ22509118	MZ22500963	0.0904
MZ22529135	MZ22515350	0.8747
MZ22528813	MZ22524150	0.0000
MZ22531015	MZ22525780	1.0074
MZ22522486	MZ22516705	0.1871
MZ22527539	MZ22524913	-0.0000
MZ22530641	MZ22515923	0.0000
MZ22524393	MZ22513599	0.7627
MZ22528797	MZ22519827	0.7450
MZ22503562	MZ22507874	0.4517
MZ22528169	MZ22512960	0.0000
MZ22506809	MZ22509191	0.7094
MZ22531194	MZ22517741	-0.0173
MZ22530125	MZ22523278	0.9606
MZ22528765	MZ22520257	1.0123
MZ22528218	MZ22509788	-0.0002
MZ22528909	MZ22516877	1.0098
MZ22516940	MZ22516071	-0.0191
MZ22528983	MZ22509788	-0.0002
MZ22506348	MZ22507135	0.9150
MZ22506632	MZ22502318	0.1545
MZ22530558	MZ22506226	-0.0081
MZ22528532	MZ22523837	0.9442
MZ22528993	MZ22513478	0.0000
MZ22510658	MZ22509401	0.5509
MZ22504397	MZ22500913	0.0038
MZ22518612	MZ22503849	0.1072
MZ22530094	MZ22523230	-0.0139
MZ22518279	MZ22511606	1.0377
MZ22523024	MZ22514750	-0.0040
MZ22530435	MZ22514296	-0.0000
MZ22528265	MZ22502275	0.7589
MZ22529374	MZ22504087	0.0000
MZ22529063	MZ22503239	0.0000
MZ22526774	MZ22510445	0.0000
MZ22527758	MZ22519349	0.0000
MZ22529418	MZ22522743	0.0000
MZ22524171	MZ22510682	0.1434
MZ22524626	MZ22517026	-0.0000
MZ22527640	MZ22529356	0.7978
MZ22530173	MZ22523997	-0.0143
MZ22523364	MZ22510210	-0.0116
MZ22530796	MZ22500369	0.0000
MZ22530518	MZ22502941	-0.0164
MZ22514760	MZ22501513	0.7263
MZ22530497	MZ22509215	-0.0145
MZ22516579	MZ22502270	0.4848
MZ22529989	MZ22503050	0.3472
MZ22528741	MZ22530034	0.0000
MZ22530257	MZ22506156	-0.0000
MZ22513220	MZ22511907	-0.0078
MZ22521467	MZ22519064	0.1859
MZ22531028	MZ22501420	-0.0102
MZ22527321	MZ22522860	0.2638
MZ22519775	MZ22511178	0.3757
MZ22528781	MZ22509478	0.0674
MZ22515112	MZ22503042	-0.0000
MZ22525670	MZ22523306	-0.0086
MZ22519385	MZ22504464	0.1200
MZ22524020	MZ22523609	0.1442
MZ22527166	MZ22507789	0.0000
MZ22526415	MZ22514741	0.0000
MZ22530615	MZ22527395	0.0000
MZ22530333	MZ22525868	-0.0102
MZ22530620	MZ22521755	0.0000
MZ22521669	MZ22505673	0.4326
MZ22520595	MZ22523991	0.9497
MZ22526944	MZ22520145	-0.0000
MZ22526980	MZ22510968	-0.0085
MZ22525354	MZ22508041	0.6474
MZ22527725	MZ22522978	0.4429
MZ22522354	MZ22517260	0.0000
MZ22527008	MZ22509201	-0.0064
MZ22529885	MZ22521939	0.0000
MZ22527796	MZ22509310	-0.0035
MZ22530077	MZ22526151	-0.0046
MZ22530424	MZ22520344	-0.0172
MZ22530170	MZ22522192	-0.0000
MZ22530288	MZ22519290	0.4584
MZ22528236	MZ22519592	0.0000
MZ22527856	MZ22512253	-0.0024
MZ22527802	MZ22515856	-0.0080
MZ22530828	MZ22500164	0.0000
MZ22529649	MZ22520977	0.0000
MZ22525925	MZ22511340	0.5461
MZ22529683	MZ22513391	0.0000
MZ22529754	MZ22513972	0.0000
MZ22530564	MZ22516503	0.0000
MZ22522414	MZ22518875	0.5493
MZ22527975	MZ22500063	0.0351
MZ22529460	MZ22526667	-0.0000
MZ22526169	MZ22508669	-0.0042
MZ22529992	MZ22511896	-0.0037
MZ22529138	MZ22502699	0.8561
MZ22531033	MZ22521438	0.0000
MZ22527704	MZ22502998	0.1007
MZ22514161	MZ22503853	0.7050
MZ22530984	MZ22526187	0.0000
MZ22530297	MZ22502497	0.0000
MZ22530644	MZ22503001	0.0000
MZ22527664	MZ22512860	0.4885
MZ22526097	MZ22503353	0.0000
MZ22527793	MZ22511990	-0.0000
MZ22524975	MZ22502060	-0.0000
MZ22530395	MZ22522651	0.0000
MZ22530042	MZ22501013	0.1164
MZ22529339	MZ22500776	0.0000
MZ22512966	MZ22501838	0.0912
MZ22526633	MZ22515236	-0.0147
MZ22530078	MZ22510489	0.0000
MZ22530853	MZ22523657	0.0000
MZ22529746	MZ22506651	0.0000
MZ22529525	MZ22501169	-0.0046
MZ22530420	MZ22503993	0.3048
MZ22523504	MZ22508304	0.0527
MZ22530043	MZ22508398	0.0000
MZ22517259	MZ22510127	0.0000
MZ22526249	MZ22525005	0.1121
MZ22526076	MZ22523187	0.0000
MZ22531130	MZ22500922	-0.0131
MZ22529798	MZ22512102	-0.0007
MZ22522877	MZ22506676	-0.0025
MZ22527057	MZ22520559	0.0000
MZ22530850	MZ22503428	0.0000
MZ22530108	MZ22505701	0.0000
MZ22529085	MZ22516786	0.0000
MZ22523844	MZ22500926	-0.0000
MZ22529085	MZ22502846	-0.0041
MZ22522854	MZ22517689	-0.0175
MZ22518748	MZ22516208	-0.0000
MZ22518910	MZ22504647	0.4960
MZ22525305	MZ22508859	0.2933
MZ22504100	MZ22502156	0.1597
MZ22526889	MZ22509120	0.0000
MZ22529982	MZ22508063	-0.0049
MZ22528993	MZ22510575	0.0000
MZ22531108	MZ22503028	0.0000
MZ22511660	MZ22506297	0.0000
MZ22531250	MZ22527386	0.0000
MZ22524893	MZ22510345	0.0769
MZ22523671	MZ22503282	0.6067
MZ22520501	MZ22522584	0.1307
MZ22521705	MZ22509094	0.3308
MZ22530013	MZ22523045	-0.0080
MZ22528235	MZ22502803	-0.0055
MZ22530764	MZ22501460	0.0000
MZ22516840	MZ22518021	-0.0000
MZ22525820	MZ22503873	-0.0054
MZ22514299	MZ22501221	0.2517
MZ22530309	MZ22524691	0.0196
MZ22528180	MZ22510778	-0.0119
MZ22528530	MZ22507244	0.0000
MZ22524975	MZ22514880	-0.0000
MZ22523610	MZ22517464	-0.0000
MZ22522613	MZ22505188	0.7304
MZ22530636	MZ22506267	0.0000
MZ22528660	MZ22504058	0.8130
MZ22526454	MZ22508977	0.8701
MZ22520010	MZ22509303	0.5338
MZ22521851	MZ22515109	0.2611
MZ22530460	MZ22509703	0.0481
MZ22525199	MZ22512829	0.6737
MZ22527647	MZ22506272	-0.0000
MZ22527670	MZ22505588	0.0000
MZ22529607	MZ22511044	-0.0000
MZ22521042	MZ22505728	0.0004
MZ22530767	MZ22527185	0.0000
MZ22524689	MZ22502172	0.0689
MZ22520574	MZ22503163	0.5937
MZ22522639	MZ22516341	0.0000
MZ22526171	MZ22501916	0.0171
MZ22529882	MZ22505851	-0.0000
MZ22517768	MZ22507737	0.0000
MZ22524970	MZ22507947	0.0498
MZ22531113	MZ22514043	0.0000
MZ22530102	MZ22511512	0.0000
MZ22512780	MZ22505767	0.4653
MZ22527129	MZ22525525	0.0000
MZ22517198	MZ22514856	0.0992
MZ22526856	MZ22517383	0.2996
MZ22528185	MZ22507146	-0.0151
MZ22523401	MZ22500944	0.0889
MZ22530775	MZ22500230	0.0000
MZ22530481	MZ22520131	-0.0034
MZ22527753	MZ22504722	-0.0060
MZ22529236	MZ22520816	-0.0207
MZ22519929	MZ22506260	0.2424
MZ22527510	MZ22524092	0.0000
MZ22526936	MZ22526426	0.0000
MZ22528917	MZ22518353	0.0000
MZ22525446	MZ22509483	0.0000
MZ22530542	MZ22521383	-0.0044
MZ22530223	MZ22503058	0.0000
MZ22527022	MZ22521486	0.3834
MZ22529339	MZ22512057	0.0000
MZ22526774	MZ22512075	0.0000
MZ22525920	MZ22502101	0.1637
MZ22529970	MZ22512420	-0.0137
MZ22527586	MZ22523192	0.0000
MZ22522057	MZ22508519	0.2191
MZ22530529	MZ22521736	0.0000
MZ22530739	MZ22505511	0.3116
MZ22530679	MZ22511229	0.0000
MZ22520975	MZ22511308	-0.0066
MZ22530523	MZ22516404	0.0000
MZ22528236	MZ22505482	-0.0028
MZ22504168	MZ22500357	0.9106
MZ22529984	MZ22516748	0.0000
MZ22527563	MZ22517981	0.0220
MZ22526547	MZ22504254	0.0000
MZ22525240	MZ22525856	0.0000
MZ22530281	MZ22521012	-0.0053
MZ22531128	MZ22502573	0.0000
MZ22528873	MZ22501823	0.0000
MZ22513114	MZ22502684	0.5039
MZ22527392	MZ22517392	0.3189
MZ22524096	MZ22504778	0.0984
MZ22529872	MZ22506868	0.0000
MZ22516317	MZ22513127	0.0924
MZ22522252	MZ22513382	-0.0032
MZ22515824	MZ22515839	0.2149
MZ22516550	MZ22501431	0.0000
MZ22530735	MZ22510072	-0.0017
MZ22524941	MZ22502340	0.0000
MZ22517768	MZ22514862	0.0000
MZ22505225	MZ22503285	-0.0160
MZ22515520	MZ22500381	-0.0000
MZ22520443	MZ22515823	0.2473
MZ22529194	MZ22513367	0.0000
MZ22527940	MZ22503369	0.0000
MZ22527618	MZ22510293	0.0714
MZ22526090	MZ22504144	0.1418
MZ22518444	MZ22510443	0.4134
MZ22528919	MZ22512168	0.0000
MZ22509943	MZ22509161	0.1448
MZ22526339	MZ22502291	0.0000
MZ22530307	MZ22517731	-0.0095
MZ22530335	MZ22503861	-0.0107
MZ22531181	MZ22506671	0.1956
MZ22529374	MZ22508513	0.0000
MZ22526424	MZ22522223	0.1070
MZ22527093	MZ22513158	0.6114
MZ22530812	MZ22521338	0.2951
MZ22528746	MZ22519260	0.2620
MZ22524539	MZ22509940	0.0000
MZ22523165	MZ22518082	0.4115
MZ22526862	MZ22518515	0.2257
MZ22530383	MZ22509906	0.1027
MZ22530469	MZ22518654	0.0000
MZ22524838	MZ22506416	0.1676
MZ22525854	MZ22500978	0.6224
MZ22525417	MZ22523079	0.0000
MZ22507023	MZ22508131	0.0000
MZ22526724	MZ22515923	0.0000
MZ22528078	MZ22512238	0.0000
MZ22530620	MZ22513353	-0.0000
MZ22526826	MZ22521537	0.3587
MZ22526962	MZ22509485	0.0000
MZ22525478	MZ22505103	-0.0009
MZ22530904	MZ22504942	0.0000
MZ22530157	MZ22508956	0.5890
MZ22530079	MZ22513698	-0.0098
MZ22524654	MZ22522834	0.8567
MZ22530658	MZ22525551	-0.0114
MZ22521121	MZ22516319	0.0000
MZ22516910	MZ22514687	0.0000
MZ22527414	MZ22519510	-0.0000
MZ22525938	MZ22523126	0.0000
MZ22520101	MZ22519283	0.0000
MZ22527154	MZ22506826	-0.0184
MZ22526259	MZ22507379	0.7925
MZ22518346	MZ22504706	0.2569
MZ22526481	MZ22504268	0.0010
MZ22525966	MZ22525010	0.0119
MZ22514990	MZ22501260	-0.0086
MZ22516496	MZ22509609	-0.0108
MZ22529094	MZ22504879	0.1434
